"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.img_url","Answer.Answer_1","Answer.Answer_2","Answer.Answer_3","Answer.Answer_4","Approve","Reject"
"388FBO7JZRANIM38T8YO79BELSTNY5","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3300DTYQT3ZC2YX3Z1JDTKALNE4EQU","A610SH5RY1NG1","Approved","Tue Jul 05 13:29:26 PDT 2016","Tue Jul 05 13:29:39 PDT 2016","Tue Jul 05 21:29:39 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","13","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/18000_19000/4151679198.jpg","1","0","0",""
"388FBO7JZRANIM38T8YO79BELSTNY5","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3L4D84MIL0A70LKSUC7AHMVC1Z7HJP","A28GJDYQQ6KGEO","Approved","Tue Jul 05 13:34:37 PDT 2016","Tue Jul 05 13:34:44 PDT 2016","Tue Jul 05 21:34:44 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","7","100% (95/95)","100% (95/95)","100% (95/95)","http://s3.amazonaws.com/caption-scene/upload_batches/18000_19000/4151679198.jpg","1","0","0",""
"3AQN9REUTFXEWACV4EKLB4ZK7OQYDX","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","3BDCF01OGYCZH6YH7XNBJ137VKELYJ","A38OYO6BYY7F7J","Approved","Tue Jul 05 13:20:32 PDT 2016","Tue Jul 05 13:20:39 PDT 2016","Tue Jul 05 21:20:39 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","7","100% (18/18)","100% (18/18)","100% (18/18)","http://s3.amazonaws.com/caption-scene/upload_batches/19000_20000/4338039834.jpg","1","1","","2"
"3AQN9REUTFXEWACV4EKLB4ZK7OQYDX","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","3FE2ERCCZYQDED9DT27KYREPMKHPOB","A3UUH3632AI3ZX","Approved","Tue Jul 05 13:20:55 PDT 2016","Tue Jul 05 13:21:02 PDT 2016","Tue Jul 05 21:21:02 PDT 2016","Tue Jul 05 13:52:42 PDT 2016","","","7","100% (570/570)","100% (548/548)","100% (88/88)","http://s3.amazonaws.com/caption-scene/upload_batches/19000_20000/4338039834.jpg","1","0","2",""
"3AQN9REUTFXEWACV4EKLB4ZK7OQYDX","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","3L2IS5HSFB08OXHX9961T81J4R7NUT","A610SH5RY1NG1","Approved","Tue Jul 05 13:25:11 PDT 2016","Tue Jul 05 13:25:18 PDT 2016","Tue Jul 05 21:25:18 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","7","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/19000_20000/4338039834.jpg","1","1","","2"
"35XW21VSVGV0Y0OEIPQKCVJOZCWSLT","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","34HJIJKLP6EMF4WRWU1AQLX2RHL4V4","A3UUH3632AI3ZX","Approved","Tue Jul 05 13:24:50 PDT 2016","Tue Jul 05 13:24:55 PDT 2016","Tue Jul 05 21:24:55 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","5","100% (570/570)","100% (548/548)","100% (88/88)","http://s3.amazonaws.com/caption-scene/upload_batches/13000_14000/3409506817.jpg","1","0","0",""
"35XW21VSVGV0Y0OEIPQKCVJOZCWSLT","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3ATTHHXXWB68R001HY4W8746CATXIE","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:24:46 PDT 2016","Tue Jul 05 13:26:43 PDT 2016","Tue Jul 05 21:26:43 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","117","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/13000_14000/3409506817.jpg","1","0","0",""
"35XW21VSVGV0Y0OEIPQKCVJOZCWSLT","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3DI28L7YXBWOLUDMEMTYSJ2DF2BE1Y","A28GJDYQQ6KGEO","Approved","Tue Jul 05 13:29:32 PDT 2016","Tue Jul 05 13:29:39 PDT 2016","Tue Jul 05 21:29:39 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","7","100% (95/95)","100% (95/95)","100% (95/95)","http://s3.amazonaws.com/caption-scene/upload_batches/13000_14000/3409506817.jpg","1","0","0",""
"3Z8UJEJOCZU1DH2Q3DMTZEKH72H39G","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3EQHHY4HQTALTQAWL4LYVC064YW5GP","A610SH5RY1NG1","Approved","Tue Jul 05 13:30:31 PDT 2016","Tue Jul 05 13:30:41 PDT 2016","Tue Jul 05 21:30:41 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","10","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/22000_23000/4685287275.jpg","1","0","0",""
"3Z8UJEJOCZU1DH2Q3DMTZEKH72H39G","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3FE2ERCCZYQDED9DT27KYREPMKPOPI","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:32:01 PDT 2016","Tue Jul 05 13:32:20 PDT 2016","Tue Jul 05 21:32:20 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","19","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/22000_23000/4685287275.jpg","1","0","2",""
"3Z8UJEJOCZU1DH2Q3DMTZEKH72H39G","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3OLF68YTNAJCLWQI5G6XL2GGVXXFA6","A28GJDYQQ6KGEO","Approved","Tue Jul 05 13:29:50 PDT 2016","Tue Jul 05 13:29:57 PDT 2016","Tue Jul 05 21:29:57 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","7","100% (95/95)","100% (95/95)","100% (95/95)","http://s3.amazonaws.com/caption-scene/upload_batches/22000_23000/4685287275.jpg","1","0","0",""
"3URJ6VVYUP4P20P05GAU697CG1ZO40","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","31QNSG6A5SBLNFIXQZO71JX47L578H","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:18:01 PDT 2016","Tue Jul 05 13:18:27 PDT 2016","Tue Jul 05 21:18:27 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","26","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/4000_5000/226680398.jpg","1","0","0",""
"3URJ6VVYUP4P20P05GAU697CG1ZO40","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","3EO896NRAXDX5UBNU6OZV5Y0CTXJTW","A28GJDYQQ6KGEO","Approved","Tue Jul 05 13:28:55 PDT 2016","Tue Jul 05 13:29:04 PDT 2016","Tue Jul 05 21:29:04 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","9","100% (95/95)","100% (95/95)","100% (95/95)","http://s3.amazonaws.com/caption-scene/upload_batches/4000_5000/226680398.jpg","1","1","","4"
"3URJ6VVYUP4P20P05GAU697CG1ZO40","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","3UNH76FOCTNJNOG279OQJEIWVPAMYS","A37WDOIQH6JM6V","Approved","Tue Jul 05 13:27:04 PDT 2016","Tue Jul 05 13:27:32 PDT 2016","Tue Jul 05 21:27:32 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","28","100% (148/148)","100% (148/148)","100% (19/19)","http://s3.amazonaws.com/caption-scene/upload_batches/4000_5000/226680398.jpg","1","1","","1"
"36818Z1KV3UFI0CVVJ0TV9V1DKZ3AV","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","34Z02EIMITVQ3OA18YETD0J4DKX0TC","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:35:11 PDT 2016","Tue Jul 05 13:35:57 PDT 2016","Tue Jul 05 21:35:57 PDT 2016","Tue Jul 05 13:52:44 PDT 2016","","","46","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/25000_26000/4944827656.jpg","1","0","0",""
"36818Z1KV3UFI0CVVJ0TV9V1DKZ3AV","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3LEIZ60CDKH4LU7DEMM4SZLE1K59Z5","A610SH5RY1NG1","Approved","Tue Jul 05 13:24:27 PDT 2016","Tue Jul 05 13:24:33 PDT 2016","Tue Jul 05 21:24:33 PDT 2016","Tue Jul 05 13:52:44 PDT 2016","","","6","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/25000_26000/4944827656.jpg","1","0","2",""
"36818Z1KV3UFI0CVVJ0TV9V1DKZ3AV","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3VE8AYVF8NFY28X38IMJPBAL5908FY","A2UUT3XS4L80YU","Approved","Tue Jul 05 13:33:56 PDT 2016","Tue Jul 05 13:34:25 PDT 2016","Tue Jul 05 21:34:25 PDT 2016","Tue Jul 05 13:52:44 PDT 2016","","","29","100% (9/9)","100% (9/9)","100% (9/9)","http://s3.amazonaws.com/caption-scene/upload_batches/25000_26000/4944827656.jpg","1","0","0",""
"3M0556243S1HIVMDOI60IO4YFH2NF7","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","31QNSG6A5SBLNFIXQZO71JX47LB78N","A3UUH3632AI3ZX","Approved","Tue Jul 05 13:25:29 PDT 2016","Tue Jul 05 13:25:35 PDT 2016","Tue Jul 05 21:25:35 PDT 2016","Tue Jul 05 13:52:44 PDT 2016","","","6","100% (570/570)","100% (548/548)","100% (88/88)","http://s3.amazonaws.com/caption-scene/upload_batches/18000_19000/4099290978.jpg","1","0","5",""
"3M0556243S1HIVMDOI60IO4YFH2NF7","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3QUO65DNQV6Q6IH9AO6E8X1OU1CUOF","AHN71C7F6T6RK","Approved","Tue Jul 05 13:26:36 PDT 2016","Tue Jul 05 13:26:45 PDT 2016","Tue Jul 05 21:26:45 PDT 2016","Tue Jul 05 13:52:44 PDT 2016","","","9","100% (5/5)","100% (5/5)","100% (5/5)","http://s3.amazonaws.com/caption-scene/upload_batches/18000_19000/4099290978.jpg","1","0","2",""
"3M0556243S1HIVMDOI60IO4YFH2NF7","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3Y4W8Q93L02ZF0FKP523TPR84UFVD9","A610SH5RY1NG1","Approved","Tue Jul 05 13:26:37 PDT 2016","Tue Jul 05 13:26:47 PDT 2016","Tue Jul 05 21:26:47 PDT 2016","Tue Jul 05 13:52:44 PDT 2016","","","10","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/18000_19000/4099290978.jpg","1","0","0",""
"3ULIZ0H1VAMM2RMZDJVTZ50INMK15V","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","31LM9EDVOMAZAH63XA2NM6S8NBAJNU","A3UUH3632AI3ZX","Approved","Tue Jul 05 13:27:15 PDT 2016","Tue Jul 05 13:27:31 PDT 2016","Tue Jul 05 21:27:31 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","16","100% (570/570)","100% (548/548)","100% (88/88)","http://s3.amazonaws.com/caption-scene/upload_batches/5000_6000/242558556.jpg","1","1","","4"
"3ULIZ0H1VAMM2RMZDJVTZ50INMK15V","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","3M0BCWMB8WEJFSH51JGTK1MM8I0BWN","A3FG6OAB333FEU","Approved","Tue Jul 05 13:19:02 PDT 2016","Tue Jul 05 13:19:37 PDT 2016","Tue Jul 05 21:19:37 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","35","100% (3/3)","100% (3/3)","100% (3/3)","http://s3.amazonaws.com/caption-scene/upload_batches/5000_6000/242558556.jpg","1","1","","4"
"3ULIZ0H1VAMM2RMZDJVTZ50INMK15V","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:15 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:15 PDT 2016","","","3N8OEVH1FS8VTDXCE2U59R9ZCFTOO1","A3H35QRODK1C4K","Approved","Tue Jul 05 13:31:59 PDT 2016","Tue Jul 05 13:32:10 PDT 2016","Tue Jul 05 21:32:10 PDT 2016","Tue Jul 05 13:52:43 PDT 2016","","","11","100% (29/29)","100% (29/29)","100% (29/29)","http://s3.amazonaws.com/caption-scene/upload_batches/5000_6000/242558556.jpg","1","1","","1"
"3O71U79SRB6K4I6ZI1RZC8YDZHMSMV","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","30H4UDGLT30PEAO1GMS76NPKRK5MPW","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:24:41 PDT 2016","Tue Jul 05 13:26:37 PDT 2016","Tue Jul 05 21:26:37 PDT 2016","Tue Jul 05 13:52:44 PDT 2016","","","116","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/3000_4000/2170222061.jpg","1","0","2",""
"3O71U79SRB6K4I6ZI1RZC8YDZHMSMV","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3CP1TO84PUJVEW2PMP09T865UFO250","AHN71C7F6T6RK","Approved","Tue Jul 05 13:26:13 PDT 2016","Tue Jul 05 13:26:24 PDT 2016","Tue Jul 05 21:26:24 PDT 2016","Tue Jul 05 13:52:44 PDT 2016","","","11","100% (5/5)","100% (5/5)","100% (5/5)","http://s3.amazonaws.com/caption-scene/upload_batches/3000_4000/2170222061.jpg","1","1","","1"
"3O71U79SRB6K4I6ZI1RZC8YDZHMSMV","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3YW4XOSQKR35AQA84M83W1OG1QYU1O","A1MJECBV45AP5O","Approved","Tue Jul 05 13:20:56 PDT 2016","Tue Jul 05 13:21:04 PDT 2016","Tue Jul 05 21:21:04 PDT 2016","Tue Jul 05 13:52:44 PDT 2016","","","8","100% (26/26)","100% (26/26)","100% (26/26)","http://s3.amazonaws.com/caption-scene/upload_batches/3000_4000/2170222061.jpg","1","1","","1"
